<number of tasks>
53
<number of stations>
14
<type of the robots>
4
<limit of the robots>
1 2.14
2 3.75
3 4.37
4 6.03
<task times>
1 271 190 188 70
2 331 411 135 81
3 462 187 131 103
4 289 112 105 123
5 168 107 117 60
6 378 190 222 191
7 149 117 80 75
8 252 109 172 164
9 215 155 227 201
10 289 158 149 101
11 485 166 312 101
12 215 149 137 187
13 229 128 158 94
14 159 184 78 118
15 187 200 117 81
16 378 251 110 66
17 149 91 78 143
18 219 163 172 154
19 266 256 261 217
20 401 109 124 56
21 154 107 92 76
22 289 107 126 119
23 261 117 69 50
24 327 310 202 94
25 187 203 82 75
26 275 283 279 66
27 196 184 101 66
28 378 200 103 75
29 163 117 94 154
30 289 166 128 68
31 233 163 213 124
32 438 155 183 93
33 476 267 112 66
34 191 294 307 78
35 196 192 128 71
36 215 144 147 73
37 336 158 153 101
38 555 198 151 152
39 303 195 231 89
40 238 123 80 50
41 415 160 98 63
42 168 192 96 133
43 266 123 112 76
44 243 158 147 68
45 336 187 137 167
46 434 200 238 83
47 476 158 117 70
48 294 224 169 81
49 159 166 135 50
50 541 125 144 80
51 331 144 282 148
52 187 203 254 172
53 541 216 151 116
<precedence relations>
1,2
1,3
1,4
1,5
1,6
1,7
2,36
3,36
4,9
5,9
6,9
7,9
8,9
9,10
10,11
11,12
12,13
12,14
12,15
13,16
13,17
13,18
14,22
15,16
15,17
16,29
16,30
16,31
17,19
18,42
19,20
19,21
19,22
20,23
21,24
22,25
23,36
24,36
25,26
26,27
27,28
28,29
28,30
28,31
28,32
28,33
28,34
29,35
30,35
31,35
32,35
33,35
34,35
35,36
36,37
37,38
37,39
37,40
38,41
39,41
40,41
41,42
42,43
42,44
42,45
42,46
42,47
43,48
44,49
45,51
45,52
46,50
47,51
47,52
48,51
48,52
49,51
49,52
50,51
50,52
51,53
52,53
<setup time between tasks by robots>
1 0 14 9 19 28 5 14 0 33 28 0 19 19 9 0 5 33 33 5 33 28 0 28 9 28 23 28 33 14 9 33 14 28 5 5 19 23 33 23 5 19 23 9 5 5 19 33 9 33 23 23 33 0
1 28 0 19 33 19 28 14 33 33 23 23 0 0 19 0 9 9 0 19 14 9 9 5 9 14 5 9 14 33 33 28 0 23 0 14 23 14 19 23 14 0 23 33 28 9 0 19 5 0 0 9 5 33
1 33 9 0 5 0 33 14 9 23 14 5 33 9 9 14 28 14 14 5 19 0 5 19 19 23 23 28 28 9 19 23 5 9 9 0 28 5 28 28 5 14 5 19 23 23 33 28 9 23 23 14 19 9
1 28 0 9 0 9 14 19 0 5 14 5 33 33 19 14 23 19 19 23 9 14 23 28 0 14 9 14 28 19 33 14 0 9 14 14 33 5 14 0 23 19 28 33 28 9 0 5 28 9 0 28 5 0
1 23 19 9 0 0 9 28 23 5 14 28 19 28 9 9 0 5 9 5 23 14 19 14 19 19 14 5 28 0 23 28 23 28 9 0 23 23 33 0 33 14 23 19 23 9 28 33 0 0 14 28 14 5
1 33 9 9 28 5 0 14 28 23 23 0 14 19 5 23 14 14 9 23 33 23 0 5 19 5 28 23 9 28 14 33 5 14 33 23 0 33 5 14 5 33 19 9 5 0 33 14 23 33 19 19 23 0
1 5 5 5 9 0 0 0 33 33 33 0 0 23 19 5 14 9 5 28 23 33 28 9 33 14 19 28 23 19 0 14 14 0 28 19 23 9 23 14 19 9 33 28 28 0 19 33 28 23 28 19 9 33
